image,ground_truth,prediction,CER_score
test087_2.jpg,B6317NXK,B6317NXK0628,0.5
test087_3.jpg,F2215FCQ,F2215FC00628,0.625
test087_4.jpg,4039NHR,4039NHR0724,0.5714
test088_1.jpg,B2190TYB,B2190TYB,0.0
test088_2.jpg,B1902VKA,B1902VKA,0.0
test089_1.jpg,D8609N,D8609N,0.0
test089_2.jpg,A8406ZE,A8406ZE,0.0
test089_3.jpg,B1246KRK,B1246KRK,0.0
test090_1.jpg,T9314E,T9314E,0.0
test090_2.jpg,N9579U,N0579U,0.1667
test091_1.jpg,B2910KZW,B2910KZW,0.0
test091_2.jpg,B9721KXV,B9721KXV,0.0
test092_1.jpg,B1104AAA,B1104AAA0427,0.5
test092_2.jpg,T1579FN,T1579FN0327,0.5714
test092_3.jpg,B2346POC,B2346P0C,0.125
test093_1.jpg,B2026BIU,B2026BIU,0.0
test094_1.jpg,G1255EJ,G1255EJ,0.0
test095_1.jpg,B1201KAD,B1201KAD,0.0
test095_2.jpg,B2310JUK,B2310JUK,0.0
test095_3.jpg,B28YHH,B28YHH,0.0
test096_1.jpg,B1354COJ,B1354C0J,0.125
test096_2.jpg,B1502NRO,B1502NRO,0.0
test097_1.jpg,B1650NOG,B1650N0G,0.125
test097_2.jpg,B6354SVL,B6354SVL0225,0.5
test098_1.jpg,B1779DOB,B1779DOB628,0.375
test099_1.jpg,B2017PBQ,B2017PBQ,0.0
test099_2.jpg,B1892WZT,B1892WZT,0.0
test100_1.jpg,B1071PRG,B1071PRG,0.0
test100_2.jpg,B2134PZJ,82134PZJ,0.125
